0,0,0,0,0,
136,136,136,136,136,
273,273,273,273,273,
409,409,409,409,409,
546,546,546,546,546,
682,682,682,682,682,
819,819,819,819,819,
955,955,955,955,955,
1092,1092,1092,1092,1092,
1228,1228,1228,1228,1228,
1365,1365,1365,1365,1365,
1501,1501,1501,1501,1501,
1638,1638,1638,1638,1638,
1774,1774,1774,1774,1774,
1911,1911,1911,1911,1911,
2047,2047,2047,2047,2047,
2184,2184,2184,2184,2184,
2320,2320,2320,2320,2320,
2457,2457,2457,2457,2457,
2593,2593,2593,2593,2593,
2730,2730,2730,2730,2730,
2866,2866,2866,2866,2866,
3003,3003,3003,3003,3003,
3139,3139,3139,3139,3139,
3276,3276,3276,3276,3276,
3412,3412,3412,3412,3412,
3549,3549,3549,3549,3549,
3685,3685,3685,3685,3685,
3822,3822,3822,3822,3822,
3958,3958,3958,3958,3958,
4095,4095,4095,4095,4095,
3958,3958,3958,3958,3958,
3822,3822,3822,3822,3822,
3685,3685,3685,3685,3685,
3549,3549,3549,3549,3549,
3412,3412,3412,3412,3412,
3276,3276,3276,3276,3276,
3139,3139,3139,3139,3139,
3003,3003,3003,3003,3003,
2866,2866,2866,2866,2866,
2730,2730,2730,2730,2730,
2593,2593,2593,2593,2593,
2457,2457,2457,2457,2457,
2320,2320,2320,2320,2320,
2184,2184,2184,2184,2184,
2047,2047,2047,2047,2047,
1911,1911,1911,1911,1911,
1774,1774,1774,1774,1774,
1638,1638,1638,1638,1638,
1501,1501,1501,1501,1501,
1365,1365,1365,1365,1365,
1228,1228,1228,1228,1228,
1092,1092,1092,1092,1092,
955,955,955,955,955,
818,818,818,818,818,
682,682,682,682,682,
545,545,545,545,545,
409,409,409,409,409,
272,272,272,272,272,
136,136,136,136,136,
0,0,0,0,0,
136,136,136,136,136,
273,273,273,273,273,
409,409,409,409,409,
546,546,546,546,546,
682,682,682,682,682,
819,819,819,819,819,
955,955,955,955,955,
1092,1092,1092,1092,1092,
1228,1228,1228,1228,1228,
1365,1365,1365,1365,1365,
1501,1501,1501,1501,1501,
1638,1638,1638,1638,1638,
1774,1774,1774,1774,1774,
1911,1911,1911,1911,1911,
2047,2047,2047,2047,2047,
2184,2184,2184,2184,2184,
2320,2320,2320,2320,2320,
2457,2457,2457,2457,2457,
2593,2593,2593,2593,2593,
2730,2730,2730,2730,2730,
2866,2866,2866,2866,2866,
3003,3003,3003,3003,3003,
3139,3139,3139,3139,3139,
3276,3276,3276,3276,3276,
3412,3412,3412,3412,3412,
3549,3549,3549,3549,3549,
3685,3685,3685,3685,3685,
3822,3822,3822,3822,3822,
3958,3958,3958,3958,3958,
4095,4095,4095,4095,4095,
3958,3958,3958,3958,3958,
3822,3822,3822,3822,3822,
3685,3685,3685,3685,3685,
3549,3549,3549,3549,3549,
3412,3412,3412,3412,3412,
3276,3276,3276,3276,3276,
3139,3139,3139,3139,3139,
3003,3003,3003,3003,3003,
2866,2866,2866,2866,2866,
2730,2730,2730,2730,2730,
2593,2593,2593,2593,2593,
2457,2457,2457,2457,2457,
2320,2320,2320,2320,2320,
2184,2184,2184,2184,2184,
2047,2047,2047,2047,2047,
1911,1911,1911,1911,1911,
1774,1774,1774,1774,1774,
1638,1638,1638,1638,1638,
1501,1501,1501,1501,1501,
1365,1365,1365,1365,1365,
1228,1228,1228,1228,1228,
1092,1092,1092,1092,1092,
955,955,955,955,955,
818,818,818,818,818,
682,682,682,682,682,
545,545,545,545,545,
409,409,409,409,409,
272,272,272,272,272,
136,136,136,136,136,
